edge,source,source_title,target,target_title,strength,target_length,bridge,selection
P47|P50,P47,On-Premises LLM-Directed Robotic Pancreaticoduodenectomy with Perioperative Daraxonrasib (RMC-6236) in KRAS-Mutated Pancreatic Ductal Adenocarcinoma,P50,Phase 1 Pancreatic Cancer Trial: Efficient LLM Document Guidance,0.3025243009015933,3.439289775860683,False,top-2 neighbor
P49|P50,P49,Oncology Trial PI LLM Adoption Guide,P50,Phase 1 Pancreatic Cancer Trial: Efficient LLM Document Guidance,0.29738401298766237,3.473548290955198,False,top-2 neighbor
P43|P46,P43,H. R. 9510 (Bill v5.0) 2026,P46,Earning the Congress's Vote: A New Oncology Trial Framework for Enacting H. R. 9510,0.2956251462879838,3.485309111195061,False,top-2 neighbor
P12|P14,P12,"10 Year Glioblastoma Clinical Trial Meta-Analyses by Autonomous AI at Scale. Survival, HR, AE, and RoB scored in AI Reports and Charts, including Verifications",P14,"ChatGPT 100,000 Patient 24-Month In Silico Phase III 5-Arm Pancreatic Cancer Clinical Trial Triplicate",0.287145014397443,3.5422869538112263,False,top-2 neighbor
P17|P18,P17,End-to-End Oncology Clinical Trial LLM Efficiency For Industry Adoption with FDA/ICH Regulations,P18,LLM-Generated Glioblastoma Drug Synergy Machine Learning: From Rapid Code Prototypes to Project Deliverables Package,0.2857904022866668,3.551430628719614,False,top-2 neighbor
P06|P07,P06,mAb Bioprocess Engineering In-Context Table Forecasts using Conversational AI Literature Insight Generations,P07,Cancer vs. Conversational Artificial Intelligence,0.28491638144656695,3.557336436170849,False,top-2 neighbor
P04|P06,P04,Paclitaxel Biosynthesis AI Breakthrough,P06,mAb Bioprocess Engineering In-Context Table Forecasts using Conversational AI Literature Insight Generations,0.2829984452847732,3.5703129020612545,False,top-2 neighbor
P22|P24,P22,Federated Learning Physical AI Oncology Trials Unification,P24,National MCP Servers for Physical AI Oncology Clinical Trial Systems,0.27863048926308637,3.599952200589507,False,top-2 neighbor
P24|P31,P24,National MCP Servers for Physical AI Oncology Clinical Trial Systems,P31,Fully Automated Sponsor: Physical AI Oncology Clinical Trial Platform,0.2734876733665954,3.6350029747925623,False,top-2 neighbor
P03|P04,P03,High Dimensional and Complex Spectrometric Data Analysis of an Organic Compound using Large Multimodal Models and Chained Outputs,P04,Paclitaxel Biosynthesis AI Breakthrough,0.2677397616174864,3.674373816865117,True,
P21|P23,P21,Unification Standard Level for Physical AI Oncology Trials,P23,TrialMCP: MCP Servers for Physical AI Oncology Clinical Trial Systems,0.26630319075440523,3.6842459971171237,False,top-2 neighbor
P38|P44,P38,Mobile Pancreatic Cancer Unitree H2 Surgical Humanoid with Priority VVUQ,P44,From H. R. 9510 to Federal Law: A Narrative Case for Verified Physical AI Oncology Trials,0.2646956751623033,3.695308189587262,False,top-2 neighbor
P07|P09,P07,Cancer vs. Conversational Artificial Intelligence,P09,Cost containment of global monoclonal antibody drugs and cancer clinical trials via LLM focused reasoning,0.25942297536219766,3.731705583704362,False,top-2 neighbor
P21|P22,P21,Unification Standard Level for Physical AI Oncology Trials,P22,Federated Learning Physical AI Oncology Trials Unification,0.25432642423496427,3.7670514196645577,False,top-2 neighbor
P45|P46,P45,Earning the Clinician's Trust: New Framework for Verified Physical AI Oncology Trials,P46,Earning the Congress's Vote: A New Oncology Trial Framework for Enacting H. R. 9510,0.25388612927748305,3.7701125438178726,False,top-2 neighbor
P27|P51,P27,"Adaption: 21 CFR Part 312, End-to-End Physical AI Oncology Clinical Trial Unification",P51,"Investigational New Drug Application - Daraxonrasib, Phase 1, LLM-Directed Robotic Whipple in KRAS-Mutated PDAC",0.2506163042029285,3.7928834244682594,True,
P30|P33,P30,National Platform for Physical AI Oncology Trials,P33,Patient Priority of Proposed U.S. Bills for Physical AI Oncology Clinical Trials,0.24709766516555312,3.817461015949962,False,top-2 neighbor
P01|P02,P01,LMM Chemical Research with Document Retrieval,P02,LMM Spectrometric Determination of an Organic Compound,0.24018669419956756,3.8659567164269877,False,top-2 neighbor
P34|P36,P34,2030: 60 Second Glioblastoma AI Robotic Surgery,P36,Threefold Humanoid 24/7 Adverse Event Oncology Trial Response Team: 4-Site Rotation,0.23948434863934256,3.870901716365603,False,top-2 neighbor
P07|P08,P07,Cancer vs. Conversational Artificial Intelligence,P08,Clinical decision support based on Bevacizumab cancer trials and pushing the limitations of advanced LLMs,0.22588731554932992,3.967232123019781,False,top-2 neighbor
P11|P12,P11,AI revolution toward the cure of lung adenocarcinoma,P12,"10 Year Glioblastoma Clinical Trial Meta-Analyses by Autonomous AI at Scale. Survival, HR, AE, and RoB scored in AI Reports and Charts, including Verifications",0.22466109452026647,3.975975244049227,False,top-2 neighbor
P26|P33,P26,"Adaption: 21 CFR Part 50, End-to-End Physical AI Oncology Clinical Trial Unification",P33,Patient Priority of Proposed U.S. Bills for Physical AI Oncology Clinical Trials,0.22088826168689724,4.002933739596511,True,
P35|P38,P35,2030: 60 Second Pancreatic Ductal Adenocarcinoma Robotic Whipple Procedure & Daraxonrasib Simulation,P38,Mobile Pancreatic Cancer Unitree H2 Surgical Humanoid with Priority VVUQ,0.22021472239295103,4.007755616702112,False,top-2 neighbor
P29|P30,P29,Physical AI Oncology Clinical Trial Site Complete Documentation Package,P30,National Platform for Physical AI Oncology Trials,0.21737813274110776,4.028093195889313,False,top-2 neighbor
P14|P17,P14,"ChatGPT 100,000 Patient 24-Month In Silico Phase III 5-Arm Pancreatic Cancer Clinical Trial Triplicate",P17,End-to-End Oncology Clinical Trial LLM Efficiency For Industry Adoption with FDA/ICH Regulations,0.2146095941605285,4.047990193152429,True,
P14|P16,P14,"ChatGPT 100,000 Patient 24-Month In Silico Phase III 5-Arm Pancreatic Cancer Clinical Trial Triplicate",P16,Accelerating FDA Compliance and Cost Efficiency of in silico Clinical Trials via AI Digital Twin Pancreatic Cancer Simulation,0.21220655207847963,4.065298286172156,False,top-2 neighbor
P19|P20,P19,"AI Peer Review Acceleration of LLM-Generated Glioblastoma Clinical Trial Patient Matching ML, FDA/ICH/ISO, and FastAPI",P20,Code Generation Competition: 16 Proprietary vs. Open-Source LLMs & Iterative Learning Based on FDA Adverse Event Reporting System,0.21181352524293606,4.068132436324784,False,top-2 neighbor
P51|P52,P51,"Investigational New Drug Application - Daraxonrasib, Phase 1, LLM-Directed Robotic Whipple in KRAS-Mutated PDAC",P52,"Clinical Trial Funding Application, RFA-RM-27-001, Kawchak K.",0.20976053565163885,4.082951991879391,False,top-2 neighbor
P08|P10,P08,Clinical decision support based on Bevacizumab cancer trials and pushing the limitations of advanced LLMs,P10,Autonomous LLM Agent and scalable Reasoning LLM for generating cancer drug industry cost solutions,0.20908284002945746,4.0878495796221035,False,top-2 neighbor
P22|P28,P22,Federated Learning Physical AI Oncology Trials Unification,P28,A Cancer Patient's Journey Through a Regulated Physical AI Oncology Trial,0.20900295431200658,4.088427083620175,False,top-2 neighbor
P35|P36,P35,2030: 60 Second Pancreatic Ductal Adenocarcinoma Robotic Whipple Procedure & Daraxonrasib Simulation,P36,Threefold Humanoid 24/7 Adverse Event Oncology Trial Response Team: 4-Site Rotation,0.20668268218334826,4.10521753907393,False,top-2 neighbor
P28|P32,P28,A Cancer Patient's Journey Through a Regulated Physical AI Oncology Trial,P32,Accelerated Patient Prediction in Physical AI Oncology Clinical Trials: 4 Extensive Simulations,0.20017775095642973,4.152464047772402,False,top-2 neighbor
P32|P36,P32,Accelerated Patient Prediction in Physical AI Oncology Clinical Trials: 4 Extensive Simulations,P36,Threefold Humanoid 24/7 Adverse Event Oncology Trial Response Team: 4-Site Rotation,0.19829785923291843,4.166165777629665,False,top-2 neighbor
P19|P49,P19,"AI Peer Review Acceleration of LLM-Generated Glioblastoma Clinical Trial Patient Matching ML, FDA/ICH/ISO, and FastAPI",P49,Oncology Trial PI LLM Adoption Guide,0.18172779888335444,4.287860222133751,False,top-2 neighbor
P18|P20,P18,LLM-Generated Glioblastoma Drug Synergy Machine Learning: From Rapid Code Prototypes to Project Deliverables Package,P20,Code Generation Competition: 16 Proprietary vs. Open-Source LLMs & Iterative Learning Based on FDA Adverse Event Reporting System,0.18075391047586611,4.295064089054799,False,top-2 neighbor
P37|P39,P37,VVUQ Oncology Clinical Trial LLM Verification Automation Priority over Existing Generated Code,P39,VVUQ Physical AI Oncology Trial Bill,0.17636162850107437,4.327624542213058,False,top-2 neighbor
P51|P53,P51,"Investigational New Drug Application - Daraxonrasib, Phase 1, LLM-Directed Robotic Whipple in KRAS-Mutated PDAC",P53,"Clinical Trial Funding Application v2.0, RFA-RM-27-001, Kawchak K.",0.16665370365614707,4.4,False,top-2 neighbor
